v1,v2
ham,I collected wildflowers and pressed them in a journal.
ham,We are celebrating mom birthday with a cake tonight.
spam,NOTICE: Your Microsoft account has been hacked. Click to verify identity.
spam,Your investment plan is ready. Transfer funds to activate returns.
spam,Your electric bill is overdue. Pay now to avoid service disconnection.
spam,Your health insurance claim has been approved. Log in to receive funds.
spam,Your loyalty points have expired. Claim $50 credit before midnight.
spam,FINAL WARNING: Outstanding balance of 7 on your account. Pay now.
ham,"I will pick you up at 7, be ready!"
ham,"I am at the airport, boarding soon."
spam,Win a luxury cruise for two! Enter our sweepstakes. No purchase necessary.
ham,Reminder: take out the trash before you go to bed.
ham,I tested a new sourdough recipe and it turned out great.
ham,"My new glasses arrived, I can see so much better!"
ham,Just returned from a great hiking trip!
spam,Join our wellness challenge and win $1000 in prize money this month.
ham,I entered a short story writing competition.
ham,"I tried wild swimming in the lake this morning, bracing!"
ham,Our building has a new security system installed.
ham,I went carol singing with the community choir last night.
spam,"FREE upgrade to our premium app tier, limited time, activate now."
ham,Did you hear about the new library opening nearby?
spam,Receive $150 per week simply by keeping our app open on your phone.
ham,Don not forget we have a meeting at 10am tomorrow.
spam,Earn 000 per day by sharing links online. No investment required!
spam,Receive 000 cash instantly with our new peer to peer lending platform.
spam,Earn 000 this month without leaving your house. Click to start.
ham,The power went out in our neighborhood for an hour.
spam,FREE samples of our new weight loss supplement. Just pay shipping!
ham,Just booked tickets for the music festival!
ham,We started a neighbourhood litter picking group.
ham,I am attending a friend birthday celebration on Saturday.
ham,The kids built a birdfeeder for the garden yesterday.
spam,Your tax returns show an overpayment of 50. Receive it by clicking here.
ham,I am meeting my college friends after three years!
ham,Do you need me to bring anything to the potluck?
ham,"Dad called earlier, nothing urgent just catching up."
ham,We cycled along the canal towpath this weekend.
ham,"Baked some cookies today, will bring some for you."
spam,Act now to secure your free place on our investing for beginners course.
ham,I need to replace the batteries in the smoke detector.
ham,We watched a really funny show last night.
ham,"The garden needs watering, can you handle it today?"
ham,I started a small vegetable garden in the backyard.
ham,We found a hidden waterfall during our hike.
spam,Earn money online by filling simple forms. 0 per form. Start today!
spam,You have been awarded VIP status. Log in to access exclusive deals.
ham,I finally fixed the broken shelf in the garage.
spam,You have been auto-enrolled in our rewards scheme. Claim your $50.
spam,Enter now to win the Ultimate Home Makeover worth over 0000!
spam,Earn 00 by reviewing products from home. No experience necessary!
ham,Can you text me the hotel address again?
ham,The kids want to go to the beach this weekend.
ham,"The internet is down, using mobile data."
ham,I finally cleaned out the garage today.
spam,"Dear customer, your package is delayed. Track it here and pay  fee."
ham,We had a wonderful afternoon exploring the old town.
spam,Get $500 back on your next purchase with our new card. Apply now.
ham,Can you pick up some fresh herbs from the market?
spam,Earn 0 per referral by joining our affiliate marketing program now!
ham,We took a short road trip to the mountains last weekend.
spam,Earn 500 a week stuffing envelopes from home. No experience needed!
ham,The local youth group is fundraising for a new minibus.
spam,Earn rewards by reviewing restaurants in your area. Start now!
spam,Get a FREE iPhone just by completing this short survey. Limited time offer!
spam,Our top stock trader shares secrets on making 0000 per week from home!
ham,I pressed some autumn leaves to decorate the hallway.
spam,EARN DAILY: Our automated bot trades crypto for you 24 hours!
ham,I joined a local birdwatching group last weekend.
ham,I am joining an online book club next month.
ham,I joined a cooking class on weekends.
spam,You have won an overnight stay at a 5-star hotel. Verify here.
spam,You received a secure document. Click here to view and sign it now.
ham,I need someone to review my resume.
ham,The new coffee shop near the station is really good.
spam,Warning: A hacker is accessing your account right now. Block them here.
spam,Join our investment circle and earn 20% weekly. Risk free!
ham,We installed solar panels on the rooftop this week.
ham,"There is a pothole on Main Street, be careful driving."
spam,Our top rated trading app just launched. Get 00 free on sign up!
ham,The library has a new mystery novel by your favorite author.
spam,Earn $500 monthly by renting your car when you are not using it.
ham,The restaurant reservation is confirmed for 7:30pm.
ham,I am catching up on sleep this long weekend.
ham,The whole family went cycling along the river trail.
ham,The kids want to learn how to make their own pizzas.
ham,I helped a friend move into their new apartment.
ham,Can you fix the squeaky door when you get time?
ham,The wild bird came right up to the feeder this morning.
ham,The pizza place near us has a Tuesday discount.
ham,"I am feeling a bit tired today, might skip the gym."
ham,The street lights on Oak Avenue are not working.
spam,We noticed your savings account is inactive. Verify to keep it active.
ham,I am learning to make sourdough bread from scratch.
ham,We should batch cook meals for the week on Sunday.
spam,Receive a free box of premium organic food. Just pay $2 delivery.
spam,Get a free kitchen appliance when you switch your energy plan.
spam,NOTICE: Your Google account may be deleted in 48 hours. Act now.
ham,The new park in our neighborhood looks great.
spam,Send this message to 10 friends and win a free vacation. Act fast!
ham,I am preparing a vision board for my goals.
spam,You won an Apple Watch in our customer loyalty draw. Claim now!
spam,Get a free consultation with our legal team about your debt today!
spam,You won the monthly cash prize of $3000. Verify account details.
ham,"I tried making sushi for the first time, it was great!"
spam,Your card ending in 4242 was charged 9. Click here if this was not you.
spam,Congratulations! You are our 1 millionth visitor. Click to claim your reward!
ham,I am going to the hair salon after work.
spam,You are selected for an exclusive beta testing program. 00 reward!
ham,I am doing a digital detox for the whole weekend.
ham,"Our class reunion is next month, are you going?"
spam,Earn cash by referring friends to our service. 0 per successful referral!
spam,"We are looking for local distributors. Earn 00 weekly, no experience!"
ham,I am planning to redecorate my room this month.
ham,The neighborhood watch meeting is on Thursday evening.
spam,FINAL CALL: Last chance to claim your $250 birthday reward today.
spam,Get your personalised insurance quote and save up to 40% today.
ham,The printer in the office is out of ink again.
ham,Let me know if you need anything from the market.
ham,"Good luck on your exam tomorrow, you have got this!"
ham,The local cinema has a classic films festival next week.
ham,Can we do a video call tonight to catch up?
ham,I signed up for a weekend photography workshop.
ham,Do not forget to take your medicine after dinner.
ham,I have been feeling under the weather today.
ham,I am going to try intermittent fasting this week.
spam,Lose 20 pounds in just 2 weeks with this miracle pill! Order now!
ham,"I will be in the area tomorrow, want to grab lunch?"
spam,Take control of your finances with our free budgeting tool. Start today!
spam,URGENT: Your WhatsApp account will be banned. Verify here to avoid it.
ham,I need to buy a new water filter for the kitchen.
spam,Get travel insurance for your upcoming trip starting at just  per day!
ham,I will be home by 8. Can you start dinner?
ham,We are going apple picking at the farm this weekend.
spam,FREE credit card with a $5000 limit approved for you. Claim now.
spam,You are eligible for a government housing subsidy. Apply here!
spam,FREE meal kit subscription for an entire month. Claim now!
ham,I am picking up woodworking as a new hobby.
spam,You have a surprise waiting in your parcel locker. Collect within 48 hours.
ham,I am going to start composting our kitchen waste.
ham,I am following a new workout plan from YouTube.
ham,The photocopier at work needs servicing again.
spam,Get a free quote on life insurance. Rates starting at just  per month!
ham,The recycling bins are being collected tomorrow morning.
ham,We are building a treehouse for the kids.
ham,"Just made a big pot of soup, enough for the whole week."
ham,"Movie was so good, totally worth the wait."
ham,I am hosting a small dinner party next Saturday.
spam,Congratulations! You passed our loyalty customer selection. Claim 00 now!
ham,The school trip to the science museum is next Friday.
ham,I made fresh orange juice from the garden oranges.
ham,We had hot chocolate and a big walk in the snow.
ham,I need to buy a birthday card for your dad.
spam,Limited time: download our new app and get $25 free instantly.
spam,Download our app and get 0 free credit instantly. No card needed!
spam,FREE online masterclass on wealth creation tonight. Register now!
spam,Earn real money testing video games at home. Apply now for free.
ham,I am writing a letter to my old teacher to say thank you.
spam,Your child benefit may have increased. Check your new entitlement.
spam,EARN BIG: Refer one friend and earn $100 cash back instantly.
spam,Congratulations! Your business idea has been selected for funding!
spam,FREE SIM with 10GB data! Switch providers today and save up to 50%!
ham,Watched an amazing documentary last night on space exploration.
ham,The project got approved by the client!
spam,Exclusive crypto opportunity: 10x your money in 48 hours. Join now.
spam,Your contact details have been used to register an account. Secure now!
ham,We should try the new dim sum place on Saturday.
ham,"You left your jacket at my place, I will bring it tomorrow."
ham,I am getting my teeth whitened this Thursday.
spam,Earn from social media without posting! Our tool does the work for you.
ham,We should finally try that Thai restaurant downtown.
ham,I finished writing my novel after two years!
ham,The kids have been learning to knit at school.
spam,Win a year of free Amazon Prime! Complete the verification now.
spam,FREE smart meter installation for all eligible households this month.
ham,We are building a raised vegetable bed in the garden.
ham,We are trying a new method to organize the pantry.
spam,Get a free eye exam and glasses with our new vision plan today!
ham,"I got the blood test results back, all normal."
ham,"I forgot to buy eggs, can you grab some on your way?"
ham,Can you save me a seat at the event?
ham,Can you schedule a plumber visit for next Tuesday?
ham,Can you water the hanging baskets while I am away?
spam,Your identity may have been stolen. Protect yourself now for free.
spam,Start a profitable dropshipping business today with our free guide!
spam,You are one of 50 winners of our nationwide giveaway. Claim now.
spam,You have an unread legal notice. Click here to access it securely.
ham,I need to find a babysitter for Saturday evening.
ham,"I am running 10 minutes late, sorry!"
spam,Win a $5000 holiday voucher. Click the link and enter now!
ham,I signed the petition to save the local library branch.
spam,Your Amazon package is on hold. Click to confirm delivery address immediately.
ham,"I got a parking ticket today, so frustrated."
ham,"Heading to the grocery store, need anything?"
ham,I made pancakes with fresh berries this morning.
ham,I installed a bird box in the garden last weekend.
ham,The kids have been obsessed with board games lately.
ham,The new sports complex in town is impressive.
ham,Good morning! Hope you have a great day ahead.
spam,CONGRATULATIONS: You have been granted a small business grant!
ham,The conference call starts at 9am sharp tomorrow.
spam,You have been chosen to review our products and keep them free!
ham,We fixed the broken garden hose today.
ham,"The hotel we booked has a pool, the kids will love it."
spam,Make 0000 this month from home with our secret affiliate strategy!
spam,Emergency alert: Your house may not be protected. Get free quote today.
spam,Earn $250 for every product video you create for our online store.
spam,Earn cashback on every grocery shop with our new loyalty card.
spam,Hot deal: 70% off on designer handbags. Shop now before stock runs out!
spam,Claim your tax rebate of $670 online in under 5 minutes today.
ham,The local council planted new trees along our street.
spam,NOTICE: Your vehicle warranty is about to expire. Call now to renew.
spam,Your unclaimed compensation amount is $3700. Click here to verify.
ham,"I left my umbrella at your place, can I pick it up tomorrow?"
spam,Turn your spare room into a cash machine. List it today for free!
spam,Our AI writer earns members $5000 monthly. Download for free today.
spam,Your blood pressure medication is now available at 80% off online!
ham,The kids loved the birthday cake you baked!
ham,The landlord fixed the leaking tap finally.
ham,I am thinking of repainting the living room.
spam,Double your retirement savings with our risk free annuity product.
spam,You are invited to test the new flagship phone and keep it for free!
ham,The kids had a fantastic time at the school science fair.
ham,"I made fresh lemonade, come over if you want some."
ham,The kids made handmade greeting cards for teachers day.
spam,Our members made 250% profit last month. Your slot is reserved!
spam,You have a new message from the tax department. Open it here immediately.
spam,Win a smart fridge worth $1800 by entering our kitchen competition.
ham,Can you print the boarding pass before we leave?
spam,Earn rewards for every online purchase with our new cashback program!
spam,WARNING: Your Google Drive storage is full. Upgrade now for free!
ham,I passed my driving test today!
ham,I completed a 30 day challenge of no social media.
ham,Can you help me move to the new apartment on Saturday?
ham,I am learning to make sushi at home.
spam,Earn 15% weekly returns on your savings with our exclusive fund.
ham,"Just got back from the gym, feeling great!"
ham,I booked a stay at a cozy mountain cabin.
spam,You have been accepted to our premium affiliate program. Start today!
spam,Your data has been leaked. Purchase our protection service immediately.
spam,FREE luxury candle set sent to your door. Just complete our survey.
ham,How was your interview? Hope it went well!
spam,Enter to win a $4000 bathroom makeover. Draw closes on Friday!
spam,Your social media account has been reported. Review the appeal now.
spam,Act now to claim $750 from mis-sold timeshare agreements.
ham,Can I borrow your charger? Mine stopped working.
spam,Click here to get your free 00 from our new digital wallet launch!
spam,Your Facebook account login was detected from a new location. Check now!
ham,We picked blackberries and made a crumble for pudding.
spam,Free iPhone 15 being given away by Apple to celebrate their anniversary!
ham,I went to the charity shop and found some great books.
spam,Your Apple ID is at risk. Verify your identity immediately here.
ham,The monsoon season has made the city look so green.
ham,The bookstore has a big sale this weekend.
ham,Can you share the recipe for that pasta you made?
ham,Can we reschedule our call to tomorrow morning?
spam,You have an unclaimed insurance payout. Contact us within 48 hours.
ham,Can you help me fix this bug in my code?
spam,Get a free air purifier when you sign up for our subscription today.
ham,I donated old clothes to the charity drive.
ham,The school volleyball team won the regional championship.
ham,We delivered Christmas hampers to elderly residents.
ham,The sunrise this morning was absolutely gorgeous.
ham,Can you reserve tickets for the open air cinema?
ham,I need to fix the leaking faucet in the kitchen.
ham,I helped set up for the village hall quiz night.
ham,Just submitted the application for the scholarship.
ham,The mechanic said the car needs new brakes.
ham,I passed my certification exam today!
spam,Your retirement account has an unverified beneficiary. Update now.
ham,"The grocery list is on the fridge, can you check it?"
ham,We got the keys to the new house today!
spam,Win a 000 Amazon voucher. Just complete this survey and claim instantly!
ham,I finally got around to filing my tax returns.
ham,I started a herb spiral in the corner of the garden.
ham,"I am heading to bed early, exhausted from today."
ham,We visited the lighthouse on the coastal path today.
spam,You have been offered early retirement benefits worth $40000.
ham,The new bus route is much more convenient for me.
ham,I finally organized all my old photos.
spam,Final warning: overdue payment of $145 on your account. Pay now.
ham,The gym is closed for renovation until next month.
spam,Be your own boss! Start an online business with our free starter guide.
spam,Investment tip: This crypto coin will rise 1000% in 24 hours. Buy now!
spam,Get paid to test apps from home. Up to 0 per test. Sign up now!
spam,Your pension pot has unclaimed contributions. Check your entitlement now.
ham,We went rockpooling at the beach with the children.
spam,WARNING: Three unresolved fines on your driving record. Pay now.
ham,I finally cleared out my email inbox after weeks.
ham,I am trying out a new skincare routine this week.
ham,We need to call the plumber about the slow drain.
spam,Get diploma certificates online in 7 days. 100% valid globally!
ham,My car keys got locked inside the car.
spam,Get a free will and estate planning consultation this week only!
spam,Your vote has won you a $1000 holiday. Choose your destination now.
spam,WINNER! You have been chosen as our lucky winner. Claim your prize today!
spam,FREE home alarm system for eligible homeowners. Check now!
ham,The new gym class is challenging but I love it.
spam,You are the 10 millionth user! Claim your free smartphone now!
ham,I am teaching the kids to bake for the first time.
ham,I enjoyed a quiet afternoon reading by the window.
spam,You are eligible to claim back $900 in bank charges. Apply today.
spam,Your property has been valued at more than you think. See your estimate.
spam,Get permanent residency in Canada fast! Our agents guarantee results!
ham,I started doing 20 minutes of yoga every morning.
ham,My nephew just started walking!
spam,Earn passive income from property with just $500 to start. Join.
ham,I finished the scarf I was knitting as a birthday gift.
spam,Congratulations! You are among the top 10 selected for our prize draw!
ham,I am practicing daily gratitude journaling this month.
spam,You are owed a refund on your broadband contract. Claim here for free.
spam,FREE ringtones! Text MUSIC to 87575 and get unlimited ringtones for free!
spam,Become a brand ambassador online and earn $1000 per month!
spam,Claim $1500 compensation for the recent data breach. Verify here.
ham,The family enjoyed a movie marathon over the weekend.
spam,You have earned $73 in rewards. Withdraw to your bank account now.
spam,Urgent! Your bank account has been compromised. Verify now at this link.
ham,The cafe near the park does the best chai latte.
spam,CLAIM your share of unclaimed property worth thousands in your name.
ham,I am making a quiche for the first time tonight.
ham,I set up a reading nook in the corner of my room.
spam,LIMITED OFFER: Lock in this mortgage rate for free. Expires tonight.
ham,Just woke up from an amazing nap.
ham,"The kids finished their homework already, so proud."
ham,The hiking group meets every Saturday morning.
ham,I made a wreath from pine cones and holly for the door.
ham,"The hotel check-in is at 3pm, do not be late."
ham,The school talent show was absolutely amazing.
spam,Your Gmail account will be terminated in 24 hours. Verify now to keep it.
spam,URGENT: Your Netflix account has been suspended. Update billing details now.
spam,You are invited to a VIP investor event. Reserve your free seat now!
spam,Our top earner made $90000 last year following our system. Try free.
ham,I am making a list of the places I want to visit this year.
ham,"The garden hose burst, need to get a replacement."
ham,I need to buy new bedding before the winter arrives.
ham,"My train gets in at 6pm, see you at the station."
spam,EARN BIG: Join our real estate investment pool for just 50 today!
ham,Just finished a really intense workout session.
spam,FREE business registration for the first 100 applicants today only!
ham,The school nativity play was absolutely adorable.
spam,You have been selected for our premium beta rewards program. Join!
ham,I ordered a new pair of running shoes online.
spam,You have an uncashed cheque in your name. Claim before expiry.
ham,I baked a chocolate cake for the first time!
spam,Claim free Amazon Alexa by completing our quick product review.
spam,We noticed unusual purchases on your card. Confirm your identity now.
spam,Investment opportunity! Turn 00 into 0000 in just 30 days guaranteed!
ham,I am learning to draw with a simple daily sketching habit.
spam,Earn $600 this week by completing our online tasks. No experience!
ham,The flight lands at 3pm. Can you pick me up?
ham,I got selected for the internship!
spam,You are entitled to free loft insulation as a homeowner. Apply.
spam,Download free movies and music forever with our premium membership!
ham,I found an amazing homemade pasta recipe online.
ham,I signed up for a pottery workshop this Saturday.
spam,Grow your hair back in 30 days with our clinically proven formula!
spam,You are entitled to PPI compensation. Check how much you are owed now!
spam,Our forex trading tool made users $8000 last month. Download free.
spam,You are eligible for a free medical alert device. Call now to qualify.
ham,The kids school has parent teacher meetings next week.
ham,We are teaching the kids to code on weekends.
spam,FINAL NOTICE: Your social security number has been suspended. Call now!
spam,Your account shows unused rewards. Log in to redeem $250 now!
ham,I started learning a new language this month.
ham,We are growing our own tomatoes and peppers.
spam,Claim your free phone upgrade from your current network provider today.
ham,Study group meeting is at 6pm in the library today.
spam,Your debit card was declined. Update your billing info to avoid charges.
ham,Can you remind me about the dentist appointment?
ham,Are we still on for coffee tomorrow morning?
ham,I started journaling every morning.
spam,Your government issued benefits are being unclaimed. Apply now online.
spam,Urgent: Your Netflix password must be updated. Verify now!
ham,I have been reading a fascinating book on ancient history.
ham,I booked a table for two at the Italian restaurant on Friday.
spam,Get a full solar panel system installed at no cost to you today.
spam,BREAKING: New law entitles you to a $2500 energy bill rebate.
ham,Did you watch the game last night? What a match!
ham,Pick up some milk on your way home please.
ham,We should plan a road trip this summer.
spam,Our system shows you qualify for a home renovation grant up to 0000.
ham,"I forgot my phone at home again, call the office if urgent."
ham,Can you recommend a good book to read this weekend?
spam,Your savings could earn twice as much. Switch account for free.
ham,I am volunteering at the community center this weekend.
spam,Buy now pay later! Get the latest gadgets with zero interest for 12 months.
spam,Free online fitness program with guaranteed results in 21 days!
ham,I gave my old bicycle to the neighborhood kid.
ham,I am attending a webinar on personal finance tomorrow.
ham,"My phone battery is dying, will call you back later."
spam,You have been invited to our elite trading community. Join free.
spam,Your subscription to our service expires in 24 hours. Renew now!
spam,You have been awarded a monthly stipend of $500. Verify your bank.
spam,Earn up to 200 a week delivering parcels in your spare time. Sign up!
spam,Your SIM will be disconnected unless you verify your identity today.
ham,The campus Wi-Fi is really slow today.
spam,CONGRATULATIONS! You have been chosen to test our new luxury products!
ham,We should visit the zoo with the kids before school starts.
ham,I spent the morning sketching in the botanical garden.
ham,We met some lovely people at the community event.
ham,I need to buy a birthday gift for my nephew.
spam,Get approved for car insurance in minutes. Rates starting at 5/month.
spam,Verify your bank account now to receive your stimulus check of 400.
ham,I made a bucket list for the next five years.
ham,"The new batch of coffee beans arrived, smells amazing."
ham,Can you proofread my resignation letter before I send it?
ham,We are watching the new documentary tonight after dinner.
ham,I am going to try surfing for the first time.
spam,You won a smart home device worth $400. Confirm your address!
spam,Your pension may be missing contributions. Check your entitlement.
ham,Do you want me to order groceries online tonight?
spam,You may be entitled to a refund from your energy supplier. Check now.
ham,We are planning to visit the national park in summer.
ham,Can we go to the farmers market on Sunday morning?
ham,I made French toast for breakfast this morning.
spam,"HUGE SALE: 80% off on branded clothing. Today only, shop now!"
ham,The neighbors threw a lovely garden party yesterday.
ham,We volunteered at the animal shelter this Saturday.
spam,Exclusive deal for you! Get 90% off on all luxury watches. Buy now!
ham,I am practicing mindfulness every evening before bed.
ham,We are doing a weekend digital declutter together.
ham,The annual work party is confirmed for December 15th.
spam,Get out of debt for good with our 100% legal debt wipe system!
ham,The restaurant we went to last night was excellent.
spam,You have qualified for 12 months of free electricity. Verify here.
ham,We cooked a three course dinner for the anniversary.
ham,Can you grab some fresh bread from the bakery?
spam,Get a free credit score check and unlock hidden loan offers today!
ham,The local charity collected over 200 food packages today.
ham,The weather forecast says it will snow next week!
ham,"My phone storage is almost full, need to clear it."
ham,We are donating old toys to the childrens charity.
ham,The dog has a vet appointment at noon on Thursday.
ham,We made a bonfire in the backyard last night.
ham,The new coffee machine at work makes amazing espresso.
ham,The art exhibition at the museum is worth visiting.
ham,The winter clothes are out of storage and ready to use.
ham,"Call me when you get a chance, nothing urgent."
spam,WARNING: Your computer has been hacked. Call helpline immediately.
spam,Win a brand new car in our raffle. Buy tickets now for just  each!
spam,You are selected for an exclusive investment group. Limited seats!
spam,Earn daily income from our automated trading system. No experience needed!
spam,You are the lucky winner of a brand new car! Reply YES to claim your prize.
ham,I need to buy a new backpack for the camping trip.
spam,You are selected to be a product tester for top brands. Apply here!
ham,The annual performance reviews start next month.
ham,We finally booked tickets for the concert!
spam,Win $25000 in our savings account competition. Enter today for free.
spam,You have won a home theater system! Confirm your shipping address.
spam,IMPORTANT: New government benefits available for your age group.
ham,"The supermarket had a sale on vegetables, stocked up."
ham,The heating bill this month was quite reasonable.
spam,Earn passive income of 000 weekly with our proven investment system!
ham,Can you drop off the documents at the post office?
ham,I enjoyed the cooking workshop I attended on Saturday.
ham,We finally fixed the broken fence in the backyard.
spam,Free trial of our premium VPN service. Protect your privacy today!
ham,The traffic was terrible on the highway this morning.
spam,You qualify for a government tax refund of 00. Claim it here now!
ham,We should go stargazing someday.
spam,Your trial is ending. Confirm now to avoid a $49 monthly charge.
spam,FREE electric bike when you open a new account with us this month.
ham,The new gym equipment at the park is really nice.
ham,The kids concert at school is on Wednesday at 6pm.
ham,I think I need to see a doctor about this cough.
spam,You won a 00 Amazon gift card. Click the link to redeem it today!
ham,Dad is coming to visit next weekend.
ham,I got a flat tire on the way to work.
ham,We had a wonderful family brunch at grandma house.
spam,You have a message waiting. Click here to listen to your voicemail online.
ham,I am going to the library to return some books.
spam,Your IP address has been flagged. Call tech support immediately to fix it.
spam,Earn income by renting out your spare bedroom on our platform.
spam,Limited offer: Get a gym membership for just  for the first month!
ham,"I think I left my keys at your place, can you check?"
ham,We are going to a comedy show this Friday evening.
ham,We should volunteer at the food bank this weekend.
spam,ATTENTION: A lawsuit has been filed in your name. Call now to resolve.
spam,Your loan has been approved for 0000. Click here to get your money now!
ham,I am exploring online freelancing opportunities.
spam,Your monthly premium is overdue. Pay immediately to avoid cancellation.
ham,The team lunch is happening this Thursday at noon.
ham,"I accidentally deleted the file, can you resend it?"
spam,Win 0000 cash by answering 3 simple questions! Respond now.
spam,EARN NOW: Get paid $30 per hour completing online microtasks.
ham,The new employee joined our team today.
ham,"Got my annual health checkup done, all good!"
spam,Our new diet plan helped people lose 30lbs in one month. Try it free!
spam,New app pays you  for every step you walk. Download and start earning!
ham,"The Wi-Fi router needs to be restarted, it is slow again."
ham,I made it to the top of the hiking trail today!
ham,We finally fixed the creaky floorboard in the hallway.
spam,BANK ALERT: Suspicious activity detected. Confirm your details urgently.
spam,Free home energy audit! Qualify for grants up to 000 for improvements.
ham,I finished reading the entire trilogy in one week!
ham,I am going camping this weekend with some friends.
ham,I have been cooking a new recipe every week.
ham,The neighborhood kids started a small football league.
ham,The kids started growing cress on the windowsill.
ham,What time does the movie start tonight?
ham,I found the most beautiful hiking trail last weekend.
spam,Our automated crypto trading system earns 50% per month. Try it free!
spam,New cryptocurrency launch! Get 500 tokens completely free today.
ham,Can you help me draft an email to my professor?
ham,I will send you the files once I am back at my desk.
ham,I brought homemade sandwiches for the whole team today.
ham,We went to a beautiful botanical garden this weekend.
spam,Invest in gold now and earn 200% returns in 3 months. Guaranteed!
spam,Get fast approval on personal loans up to 0000. No credit check needed!
spam,Get a 000 store credit with our new retail card. Apply in 60 seconds!
spam,Congratulations! You have won a 000 gift card. Click here to claim now!
ham,I am registering for a half marathon next spring.
ham,The local farmers market is open every Sunday.
ham,The dentist appointment is at 2pm on Thursday.
ham,Can you let the dog out before you leave for work?
ham,I started growing herbs on my kitchen windowsill.
ham,The project deadline has been moved to Friday.
spam,Your water authority has an overcharge on your last 3 bills. Claim now.
spam,Earn $400 a week by completing simple online typing tasks at home.
ham,I have been meditating every morning this week.
ham,The garden looks amazing after the rain.
ham,We cleaned the entire house in preparation for the guests.
spam,NOTICE: An inheritance worth 00000 has been left in your name. Claim now.
ham,The morning walk was so refreshing today.
spam,Claim your inheritance funds of $240000 willed to you from abroad.
spam,You have been shortlisted for a government housing scheme. Apply now!
