v1,v2
ham,I made fresh juice for the whole family this morning.
ham,The sunrise this morning was absolutely breathtaking.
ham,The neighborhood has a new organic food store.
ham,We joined a community choir and love it so much.
spam,Get lifetime access to all our premium courses for just $9.99 today.
ham,I have to submit the report by end of the week.
ham,Annual family trip is booked for July!
spam,Start making money online with zero investment. Guaranteed daily income!
ham,I am testing a new meal prep strategy this week.
ham,What do you want for lunch today?
ham,Can you water the plants while I am away this week?
ham,I enrolled in an art class starting next month.
ham,The company announced a half day tomorrow.
spam,Your subscription to a premium service was renewed for 9. Cancel here.
ham,I attended a live jazz concert last night.
spam,We are recruiting home based testers. Earn 00 weekly. Apply now!
ham,We attended a local photography exhibition downtown.
spam,Unlock exclusive members rates on hotels worldwide. Join for free now!
ham,I found a really good podcast on mindful living.
ham,We need to renew the car insurance before next month.
ham,Can you help me pick an outfit for the interview?
ham,I had a great workout with my new trainer today.
ham,The kids drew some amazing pictures at art club today.
ham,Did you hear that the local park is getting a playground?
spam,Congratulations! Your entry has been picked in our annual sweepstakes!
spam,Make $2000 monthly working 2 hours per day from your smartphone.
spam,Your phone is infected with 3 viruses. Download our cleaner app now!
ham,We need to get the car serviced before the long drive.
ham,"The electricity bill came today, quite high this month."
ham,Can you save me a spot at the parent meeting tonight?
spam,Get your free personalised investment report worth $200 today.
ham,"I got a haircut today, finally!"
ham,We collected conkers with the kids in the park today.
spam,Get a second income stream from our automated affiliate system.
ham,The new neighbor seems really friendly.
ham,"I finished my thesis draft, feeling relieved."
spam,SPECIAL OFFER: Get lifetime access to our financial course for just !
spam,You have been awarded a one year free membership to our travel club!
ham,I completed a full month of regular morning workouts.
spam,Your mortgage could be reduced by $300 per month. Check free today.
spam,ALERT: Your electricity meter may be due for a free upgrade. Check now!
spam,Claim compensation now for the nuisance calls you have received.
ham,I found a shortcut to the office that saves 10 minutes.
spam,Make 00 daily as an online customer service rep. Hiring immediately!
ham,Can you send me the meeting agenda for tomorrow?
spam,IMPORTANT: Your health insurance expires today. Renew now at special rates.
spam,Earn while you sleep with our AI powered automated trading bot!
spam,You owe taxes. Pay immediately or face arrest. Call this number now.
spam,Your loan application was approved! Funds will be sent within 24 hours.
ham,Did you get my email about the report?
ham,I started learning sign language on an online platform.
ham,Can you help me choose a gift for the baby shower?
ham,"The road near the office is blocked, take the alternate route."
ham,I am applying for a part time online job.
spam,Download this FREE e-book and start earning 000 per day online!
spam,Your mobile number has won the international lottery jackpot of 1 million!
ham,I got a good review from my manager today.
ham,Happy birthday! Hope you have a wonderful day.
spam,FREE DNA ancestry kit worth $80. Just cover the shipping today!
spam,Your credit score dropped. See who is watching it now for free.
spam,Your internet service provider owes you a refund. Claim it today.
ham,I attended an interesting seminar on mental health today.
spam,Earn money renting out your empty driveway. Sign up in 2 minutes!
ham,I found a really inspiring podcast about entrepreneurship.
ham,Office will be closed on Monday for the public holiday.
ham,The ATM near my house is out of service.
spam,CLAIM: You are owed $1200 from a class action lawsuit. Submit here.
ham,Just wanted to say thank you for all your help last week.
spam,Our members earn 000 weekly following our simple system. Join now!
ham,I volunteered to help at the school summer fete.
spam,You are selected for a limited exclusive trial of our premium platform.
ham,I am trying to read at least one book per month.
spam,Become a social media influencer with our guaranteed growth package!
ham,I put together a birthday photo album for my mum.
ham,We saw dolphins during the boat tour!
ham,The library books are due this Friday.
ham,"The train station is under renovation, expect delays."
spam,You are pre-selected for our exclusive credit card with no annual fee!
spam,Make $700 weekly posting simple ads on social media. No skills!
ham,I am cooking biryani for the family tonight.
ham,We donated books to the school library this week.
ham,"I lost my wallet, already cancelled the cards."
ham,We got a new dishwasher delivered today.
ham,The meeting has been moved from Tuesday to Thursday.
spam,You have been awarded a scholarship worth 000. Submit your details.
spam,We are sending 00 to your mobile wallet as a thank you for being loyal.
spam,Your phone number has been selected for a 000 cash reward. Claim now!
spam,Free legal advice available now for injury and accident claims. Call us!
spam,SPECIAL: First 50 sign-ups today receive a $300 welcome bonus.
ham,We went for a late night walk by the lake.
spam,You have a pending package delivery. Pay  processing fee to receive it.
ham,"The report is ready, I will email it to you shortly."
ham,We had a lovely peaceful evening by the fireplace.
spam,Your PayPal has been limited. Verify within 24 hours to restore access.
ham,The village fair is happening this Sunday afternoon.
spam,Enter now for a chance to win a $10000 garden transformation!
ham,The hospital fundraiser event was a huge success.
spam,Earn a steady income from home by uploading short clips online.
ham,I donated blood for the first time today.
spam,You are prequalified for a zero interest balance transfer card.
ham,We need to arrange a plumber for the boiler service.
spam,Your Spotify account has been flagged. Update your payment method now.
ham,Can you call the estate agent about the property viewing?
spam,Get $100 worth of crypto free when you join our new exchange today.
ham,"I am thinking of changing jobs, need your advice."
spam,Buy Bitcoin now before it hits 00000 this week. Exclusive insider tip!
spam,We are giving $500 to our first 1000 new members. Register today.
ham,I wrote thank you cards for all the birthday gifts.
spam,Turn your knowledge into cash! We pay up to $500 per article.
spam,Earn $20 for every person who downloads our app through your link.
spam,SPECIAL ALERT: A large transaction on your account needs your approval.
spam,Congratulations on your selection for our elite investment program!
ham,The swimming lessons for the kids start on Monday.
ham,I took a half day off to rest after the long week.
spam,Huge payout for accident victims! See how much you are owed now.
ham,We watched the lunar eclipse from the rooftop last night.
ham,We should try meal prepping on Sundays.
ham,"Thanks for dinner last night, it was really nice."
ham,Can you look after my plants while I am on vacation?
ham,The public library is running a childrens reading challenge.
spam,Your number won this week national text lottery. Claim 0000 now.
ham,I need to restock the medicine cabinet this weekend.
spam,Your property valuation has increased. Get a free remortgage quote!
ham,"Battery of my laptop is draining fast, need a new one."
ham,I am prepping healthy snacks for the week ahead.
ham,I ran my first 5K today!
ham,Reminder to submit your timesheet by end of day.
ham,I found the best bakery near the train station.
spam,Act now to lock in your lifetime broadband discount before midnight.
ham,I am trying a 7am morning run challenge for 30 days.
spam,Sign up today and we will plant 10 trees in your name for free!
spam,You are the lucky recipient of a 00 grocery voucher. Redeem here.
spam,Warning! Your computer has a virus. Call our helpline immediately.
ham,I applied for a new credit card with better rewards.
ham,The first daffodils have come up in the front garden.
ham,I started taking a multivitamin every morning.
ham,I signed up for an online photography course.
ham,We went on a beautiful coastal walk on Saturday.
ham,The team celebrated finishing the big project today.
ham,I completed a beginner watercolor painting class.
ham,I am attending a career fair at the university tomorrow.
spam,IMPORTANT: Your health records were exposed. Secure your data now.
ham,I got a scholarship for the next semester!
ham,"Sent you the invoice for last month, please check."
spam,Exclusive whisky cask investment opportunity. Earn 12% annually.
spam,Earn money walking dogs in your neighborhood. Sign up in 2 mins.
ham,"The office printer keeps jamming, so frustrating."
spam,Earn up to $1000 monthly testing new mobile apps from home.
ham,Our team won the football match this evening!
spam,We are hiring stay at home parents to test toys. Earn up to $600.
ham,We spotted a rare bird in the garden this morning.
spam,Your energy provider owes you money. Claim your refund today.
ham,I am working on a DIY bookshelf this weekend.
ham,The autumn leaves in the park look stunning right now.
ham,I made rosehip syrup from the hedgerow berries.
ham,I woke up early to catch the sunrise at the hilltop.
spam,You have been randomly picked to receive a free business starter kit!
ham,The front door lock needs to be replaced soon.
ham,I am planning to cycle to work once a week.
ham,I ordered a new set of cookbooks for the kitchen.
ham,I am heading out for a quick grocery run.
ham,I set a new personal record at the gym today.
ham,Can you review the contract before I sign it?
spam,Your utility account has a credit note of $120. Claim it today.
ham,I completed my first full week of the new diet plan.
spam,You have been approved for a 0% interest credit card. Apply in 2 minutes!
spam,Your free trial has ended. You will be charged $89 unless you cancel.
ham,I am participating in a charity run next month.
ham,I am reading to the kids every evening before bed.
ham,We ordered takeout from the new Lebanese restaurant.
ham,The swallows are back nesting in the barn.
ham,The hedgehog visited our garden again last night.
ham,I am going for a swim early tomorrow morning.
spam,You have been shortlisted for a government backed small business loan.
spam,Your Uber account has been compromised. Tap here to secure your account.
ham,The dogs love their new walking trail in the park.
ham,I need to renew my library card before the end of the month.
spam,We found 300 owed to you by the government. Verify your info here.
ham,I am making homemade jam this weekend.
spam,You have unclaimed funds in your account. Log in immediately to access.
ham,Can you pick up my prescription from the chemist?
spam,FREE dog food samples for your pet! Just pay postage. Order now.
ham,The kids are asking if we can visit grandma this weekend.
ham,I took the kids to the planetarium yesterday.
ham,We took the kids to the zoo yesterday.
spam,FINAL NOTICE: Warrant issued for your arrest for unpaid fines.
spam,Make money fast! Invest just 00 and earn 000 in one week!
spam,Earn 00 per day working from home. No experience needed. Sign up free!
spam,EXCLUSIVE: Reserved a $500 bonus in your name. Claim by midnight.
ham,"I cannot make it to the gym today, too tired."
spam,Your ISP owes you compensation for recent downtime. Claim today!
ham,"It started raining heavily, take the umbrella."
spam,FREE immigration consultation worth $300. Book your slot now!
spam,Exclusive limited offer: Get a diamond ring for just $19.99 today.
spam,Earn recurring monthly commissions selling digital products online.
ham,Can you check if the boiler needs servicing this year?
ham,Just renewed my gym membership for another year.
ham,I took the scenic route to work and it was beautiful.
ham,Can you check if the pharmacy is open on Sunday?
spam,You are eligible for a free stairlift assessment in your home.
spam,You are the selected winner of our international prize fund worth 0000!
ham,I sent handwritten cards to twenty old friends this year.
ham,Congratulations on finishing your thesis! Proud of you.
spam,FREE gym membership for 3 months. Register before midnight tonight.
spam,Your unclaimed pension fund total is $6200. Contact us now.
spam,Turn your car into a cash machine! Earn 00 a week just by driving.
ham,We hosted a trivia night and it was so much fun.
ham,"The package arrived safely, thank you!"
ham,I am going to learn to play the ukulele.
spam,Your PayPal account has been suspended. Verify your information immediately.
ham,I have been waking up early for morning walks.
ham,I dropped the kids off at school safely.
ham,The swimming pool reopens this Saturday.
spam,Access premium stock tips that made our members millionaires last year!
ham,The sunset over the hills was breathtaking yesterday.
ham,Can you collect the parcel from the post office?
ham,I am nervous about the presentation tomorrow.
ham,Can you help me choose a laptop within my budget?
ham,We are hosting a small gathering on Sunday evening.
spam,Your medical claim has been approved. Receive $4500 this week!
spam,Earn 00 this weekend completing quick tasks on our mobile platform.
spam,You qualify for a $200 monthly disability top-up. Check entitlement.
spam,You are one of just 200 selected for this exclusive prize draw.
spam,Receive a free solar panel installation quote for your home today!
spam,FREE flu vaccination for all qualifying adults this week only.
ham,"Watched the sunrise from the terrace this morning, so peaceful."
ham,We should get the carpets cleaned before winter.
spam,Win a weekend getaway for two at a 5-star resort. Enter now!
ham,My flight got delayed by two hours.
spam,FREE estate agent valuation for your home. Book online today.
spam,Our AI stock picking service earns members 40% monthly. Try free!
ham,The train was delayed by 30 minutes this morning.
spam,Hot singles in your area are waiting to meet you. Join free today!
ham,The roof got fixed just in time before the rains.
spam,Amazing new method to clear debts in 90 days. Watch the free video now!
ham,The neighborhood clean up drive was a great success.
ham,Can you recommend a good dentist nearby?
ham,The kids love their new teacher this year.
ham,I am planning a solo trip next month.
spam,FREE health supplements with any order this weekend only.
spam,Last chance to claim your airline miles before they expire tonight!
ham,The neighborhood street festival is this Sunday.
ham,I am making homemade pizza for dinner tonight.
spam,Receive a $300 fuel card for completing our short travel survey.
spam,Win a brand new MacBook Pro! Complete this quick survey to enter.
ham,Can you help me set up the new smart TV tonight?
ham,I baked a batch of mince pies for the neighbours.
spam,Free dental consultation and cleaning this week only. Book your slot now!
spam,You are one step away from your 00 prize. Click to complete the process.
ham,I knitted a hat and matching mittens for the winter.
spam,Your phone plan is being upgraded for free. Confirm your number here.
spam,ALERT: You have a government fine outstanding. Pay within 24 hours.
ham,The weather looks perfect for a barbecue on Sunday.
spam,Your account password needs to be reset immediately. Click the secure link.
ham,We found a great deal on flight tickets for the holidays.
ham,"I bought a hammock for the backyard, it is so relaxing."
spam,FREE dental implant consultation. Call to book your appointment.
spam,Your account has been flagged for suspicious transactions. Verify now.
spam,Earn $8000 this month with our copy paste job from home!
spam,You have been selected for a cash prize of 000. Call now to claim!
spam,You have won a 5 night all inclusive vacation! Confirm your details now.
ham,We built a snowman together after the first snowfall.
spam,Your mortgage lender has reduced your rate. Sign to lock it in today.
spam,Earn residual income monthly by joining our multi-level marketing plan!
spam,Your old phone could be worth $300. Get a free valuation instantly.
ham,Just finished reading that book you recommended. Loved it!
ham,We are going to watch the fireworks tonight.
ham,I am thinking of switching to a plant based diet.
ham,The yoga class starts at 7am tomorrow.
ham,I finished assembling the new furniture from the store.
spam,Your voter registration has an error. Update your details immediately.
ham,Can you help me plan a budget for the trip?
ham,I signed up for a weekend pottery class.
spam,WIN a dream holiday to Paris for two. Enter before the deadline tonight.
ham,The post office closes at 5pm on weekdays.
spam,Earn cash by reviewing beauty products sent directly to your door.
spam,BONUS OFFER: Complete your profile and receive 0 instantly.
spam,Receive your exclusive early access invite to our new platform now.
spam,Congratulations! Your number was randomly selected. Call to claim your reward!
spam,Your tax authority wants to issue you a refund of 20. Confirm today!
spam,Limited time offer: Get the latest Samsung Galaxy for just 9 today!
ham,I am making elderflower cordial from the garden flowers.
ham,We got a gorgeous new dining table delivered today.
ham,"The city marathon is next Sunday, streets will be closed."
ham,"Dinner was great, we should do this more often."
ham,"I tried a new breakfast recipe today, turned out great."
ham,The fish I caught at the lake this weekend was huge!
ham,"Grandpa is feeling much better, doctors are happy with progress."
spam,FREE online will writing service for over 50s this week only.
ham,We took a boat ride on the lake this weekend.
spam,FREE kitchen knife set when you order any product this weekend.
spam,URGENT: Your driving licence may be expired. Renew immediately online.
spam,Earn 00 per day clicking ads from the comfort of your home. Register!
spam,Your account has been locked due to suspicious login. Verify now.
spam,Your mobile network owes you $80 due to overcharging. Claim now.
spam,You may have been mis-sold insurance. Claim compensation today for free!
spam,Claim free products from top brands by joining our review team.
spam,Our investment club earned 300% returns last month. Join us for free!
spam,Your parcel is being held at customs. Pay $4.50 to release it.
spam,Earn 000 this month promoting products on WhatsApp. Join free today!
spam,ALERT: Your account will be closed unless you update your details now.
ham,The kids are asking about going to the beach next week.
spam,Claim your refund from the recent airline ticket overcharge scheme.
spam,You owe 00 in unpaid toll fees. Pay now to avoid license suspension.
spam,WARNING: Unauthorized login detected on your account. Secure it now.
spam,Get 6 months free on our cloud storage service. Click to activate now!
ham,I moved to a new apartment this week.
ham,The book club meeting is on Tuesday evening.
ham,We had a great time at the escape room last night.
ham,The annual company retreat is next month.
ham,We spent the afternoon foraging for wild mushrooms.
ham,We planted new flowers in the front yard.
ham,I spotted a fox in the garden early this morning.
spam,Work from home and make 000 weekly. No skills required. Register free!
ham,I need to renew my passport before the trip.
ham,How is your mom doing after the surgery?
ham,We are planning a family reunion for next August.
ham,I am going to the theatre for the first time in years.
spam,"Congratulations, you have been selected for our loyalty reward program!"
ham,I will be on vacation from Monday for two weeks.
ham,The kids made their own scrapbooks over the holidays.
ham,The farmers market had amazing fresh produce today.
ham,"I visited the botanical garden yesterday, it was lovely."
spam,Get paid for your opinion! $2 per survey. Sign up in 60 seconds.
spam,Claim your annual dividend payment of 000 from our investment fund.
spam,Claim your free luxury handbag by completing a short survey.
ham,I made strawberry jam for the first time this summer.
spam,Make extra cash each month by renting your loft storage space.
ham,Can you please send me the notes from today class?
ham,Can you come over to help me assemble this wardrobe?
ham,The kids are really enjoying their summer camp.
spam,Free consultation for injury compensation. You could claim thousands!
spam,You have won access to our premium investment portfolio. Log in.
spam,FREE solar panels for qualifying homeowners. Find out now!
spam,Earn $150 per hour proofreading documents from home. Start today!
ham,We are celebrating our work anniversary next week.
ham,The office building has new security badges this week.
ham,Let me know if you need help setting up your new laptop.
spam,Your CCTV subscription is about to expire. Renew at 50% off today.
spam,Get 3 months of free Netflix by clicking this exclusive link now!
spam,GET PAID to watch Netflix! Earn $50 per show. Join our panel now.
ham,"Had a great time at the picnic yesterday, thanks for organizing."
spam,Act fast! $500 voucher reserved for you expires in 12 hours.
ham,"Netflix just added a great new series, we should watch it together."
ham,The kids want to have a movie marathon this weekend.
spam,"Your credit card has been charged 99. If this was not you, click here."
spam,Claim your 50 Walmart gift card before it is reassigned to someone else.
ham,I finished knitting the scarf I started last month.
ham,I have been attending a weekly creative writing circle.
spam,Your account has been temporarily frozen. Click to restore access.
ham,I made my own scented candles this weekend.
ham,We went on a ghost tour of the old town last night.
spam,Your council tax band may be wrong. Reclaim overpayments now.
ham,"We are thinking of adopting a puppy, any advice?"
ham,The local theatre group is putting on a great play.
ham,"The hospital visit went well, nothing serious."
ham,Do you want to come over for dinner on Saturday?
ham,I miss our old hangout spot downtown.
ham,"I need a favor, can you feed my cat this weekend?"
ham,"We got a new sofa delivered today, it looks great!"
ham,The school bus was late again this morning.
spam,Earn royalties every month by recording audio for our platform. Apply!
ham,I have started pressing wildflowers in a scrapbook.
spam,Earn royalties forever by listing our products on your social media.
ham,Can you help me rehearse my presentation?
spam,Double your Bitcoin in 24 hours! Send 0.1 BTC and receive 0.2 BTC back!
ham,We should plan a game night this Friday.
spam,Your bank requested you to re-confirm your account due to inactivity.
ham,I collected a bag of windfall apples from the orchard.
ham,The bus stop near my house has been shifted.
ham,We should plan a surprise party for his birthday.
ham,I bought a new plant for the living room.
spam,Your name appears on an unclaimed funds database. Verify today.
spam,Join our webinar and learn how to retire in 3 years on passive income.
ham,The construction near the office makes it really noisy.
ham,Do you want to carpool to the conference tomorrow?
ham,The bank is closed tomorrow due to a local holiday.
ham,The landlord is coming to inspect the apartment tomorrow.
ham,I signed up for a marathon next spring.
spam,Your insurance policy has a payout pending. Verify to receive it.
spam,Limited spots left! Join our online wealth summit for free tonight.
spam,Buy cheap meds online. No prescription needed. Discount prices guaranteed!
ham,I repotted all my indoor plants this afternoon.
ham,"Finished the presentation, will share it with you tonight."
ham,I am preparing for the coding competition next month.
spam,Invest $300 in our fund and receive $3000 within one week!
ham,The sunrise hike on Saturday was breathtaking.
spam,Get your free copy of our bestselling investment guide. Act now!
spam,Free trial available for our exclusive online fitness coaching program.
spam,Make money by posting ads online. 00 per ad. No experience required.
spam,Win a year of free groceries! Take our quick 2 minute survey now.
ham,"We ran out of coffee at home, need to buy some."
spam,FREE entry in our weekly competition to win an iPad. Text WIN to 80086 now!
spam,You have unclaimed cashback of $89 from last quarter. Redeem now.
spam,Urgent security update required for your device. Download here immediately.
ham,The kids have a school play rehearsal on Wednesday.
ham,I am excited for the long weekend coming up.
ham,Are you free this weekend for a hike?
spam,Exclusive crypto presale starting tomorrow. Secure your allocation now!
spam,Get rich with real estate in 30 days! Free webinar registration open now.
spam,WARNING: Your subscription auto-renews in 3 hours for $149. Cancel.
spam,WARNING: Outstanding court date in your name. Call to resolve.
ham,I am finally reading the novel I bought months ago.
ham,The summer camp was a great experience for the kids.
spam,Earn money watching videos!  per video. Join thousands of earners.
ham,I am building a small birdhouse for the garden.
spam,Get a free financial health check and see how to boost savings.
ham,Can we do a video call with grandma on Sunday evening?
ham,We should go for a walk after dinner tonight.
spam,The IRS has issued a final notice. Call to avoid penalties immediately.
ham,We are volunteering to help rebuild homes in the community.
ham,"I need to leave by 5, can we wrap up the meeting early?"
ham,I am attending an evening lecture on astronomy.
ham,I found a great deal on flights for the summer trip.
ham,I completed an online data science course last week.
ham,I am trying to cut back on sugar this month.
ham,I made a bird friendly garden corner with a pond.
spam,Get paid to take online surveys! Earn up to 00 per day. Join now!
spam,Make your first million following our simple 5 step system. Free!
ham,We are learning ballroom dancing together on weekends.
ham,I need to get the air conditioning repaired.
spam,Earn $25 per hour reading bedtime stories to children online.
ham,We are planning a picnic in the park this Sunday.
ham,We helped decorate the community hall for the festival.
spam,Exclusive pre-launch crypto token at a 90% discount. Buy now!
ham,The office picnic is scheduled for next Saturday.
ham,"The monsoon has finally arrived, weather feels great."
ham,"I have been walking 10,000 steps every day this week."
ham,The football match tomorrow is a must watch.
spam,Your crypto wallet is eligible for a 00 airdrop. Claim it now!
ham,The kids school project is due next Wednesday.
ham,The village Christmas market opens this weekend.
ham,I signed up for a beekeeping taster session next month.
ham,"My new colleague started today, seems very friendly."
ham,The kids loved feeding the ducks at the canal.
ham,Happy anniversary! Wishing you both many more years of joy.
ham,I started a nature journal to record seasonal changes.
ham,We should do a family board game night this Saturday.
spam,We pay $50 for each referral who opens an account with us.
ham,I enrolled in an evening class on local history.
spam,Congratulations! You are the grand prize winner of our national giveaway!
spam,You are selected for the government free laptop scheme. Apply online now!
spam,You have qualified for a debt consolidation loan. Zero upfront fees!
spam,Exclusive VIP access to our crypto trading platform. Sign up for free!
ham,I made homemade granola bars for the family.
ham,Got promoted at work today! So excited!
spam,ALERT: We detected a login to your email from a foreign country.
spam,Win tickets to next years biggest music festival! Enter right now.
ham,I will be working from home on Friday.
spam,Congratulations! Your profile was selected from 2 million entries. Claim!
spam,Earn unlimited income online with our proven 3 step system. Free guide!
ham,Do you have the Wi-Fi password at the office?
ham,I will be late to the office by about 20 minutes.
spam,A new login to your account was detected in Russia. Secure your password.
spam,You have been pre-approved for a personal loan of 5000. Apply now!
spam,Get a free background check on anyone in just 5 minutes!
ham,I made a fresh salad from the vegetables in the garden.
ham,I will handle the kids school pickup today.
ham,The baby said her first word today!
spam,Get your credit report for free and receive exclusive offers today.
ham,"The heating is not working again, calling the technician."
spam,Your student loan forgiveness application is ready. Submit details here.
ham,The park near our home just got renovated.
spam,Claim your exclusive cashback of 00 on your recent online purchases!
ham,The kids built an amazing sandcastle at the beach.
spam,Claim your free gift card worth 50 before it expires tonight!
spam,Claim your Google Play credit of 0 before it expires by midnight!
spam,Your car may have a defect entitling you to a full refund. Check.
ham,I found some old family photos while cleaning the attic.
spam,Click here to claim your complimentary flight upgrade before it expires.
spam,BREAKING: Government issuing stimulus checks. Verify your details to receive.
ham,I will meet you at the coffee shop at noon.
ham,"Hey, are you coming to the party tonight?"
ham,Can you grab a bottle of olive oil from the shop?
spam,Congratulations! Your home qualifies for a free boiler upgrade.
spam,WARNING: Unpaid charge of $199 linked to your mobile number.
spam,You have been selected as a mystery shopper. Earn up to 00 this week!
spam,Your parcel is awaiting customs clearance. Pay  handling fee now.
spam,EXCLUSIVE OFFER: Join our premium dating platform free for 1 month!
ham,Please remind me to call the bank tomorrow morning.
spam,Earn big by reselling our products online. Distributors needed urgently!
spam,Limited slots available for our online trading masterclass. Enroll free!
ham,"Staying late at work today, do not wait up."
ham,We are thinking of getting solar powered lights for the garden.
spam,VERIFY NOW: Strange activity was detected on your PayPal account.
ham,"The stadium was packed last night, amazing atmosphere."
ham,I am setting up a home office in the spare room.
spam,Win a $2000 spa retreat for two. Enter your email to qualify.
ham,"The neighbors got a new puppy, it is so cute!"
ham,I returned the faulty headphones and got a full refund.
ham,Let me know when you land safely.
ham,My sister is visiting from abroad next week.
ham,We had a lovely cream tea at the farm shop today.
spam,Cheap insurance starting at just  a day! Get your free quote today.
ham,I am writing a letter to my old school friend.
ham,"I got a new houseplant, it is called a monstera."
spam,Earn a passive income monthly by joining our property investment club.
ham,I did a 1000 piece jigsaw puzzle over the long weekend.
ham,I am setting fitness goals for the new year.
spam,Unlock a $1000 store voucher by completing our quick feedback form.
ham,The tulips in the front garden are starting to bloom.
ham,I am so glad the presentation went well today.
ham,I am trying to get at least 8 hours of sleep every night.
spam,EXCLUSIVE: Limited edition luxury watch for just 9.99 today only!
ham,The children performed their harvest festival concert today.
ham,"Just adopted a rescue cat, she is adorable!"
ham,The new park benches were installed yesterday.
ham,My sister just got engaged! So happy for her.
ham,The walking group meets by the fountain every Sunday.
ham,Let me know your arrival time so I can pick you up.
ham,Can you remind me to call my aunt on her birthday?
ham,I am thinking of growing strawberries in the garden.
ham,The first tomatoes from the greenhouse are ripe!
ham,Kids got home safely from school.
ham,I bought a slow cooker and it has changed my cooking.
spam,You have an unresolved claim with your previous insurer. Check now.
ham,I made homemade granola and it is better than store bought.
spam,We are giving away a 00 spa voucher. Be one of the first 100 to claim!
spam,GREAT NEWS: Our records show you are owed 00 in bank fees. Claim now!
ham,The bus today was unusually empty.
ham,I practiced guitar for an hour last night.
ham,Reminder that rent is due on the 1st.
ham,I am practicing for the dance recital.
spam,Make 00 today by liking posts on social media. Join our program now!
ham,Can you send me the address of the new office?
spam,Exclusive offer: Get a $250 dining voucher for just $10 admin fee.
spam,Receive free cash just for opening a new savings account with us.
